N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
183,KODEX 2차전지산업,"18,735",55,+0.29%,0,"13,171","70,300",0.68,"1,442,060",N/A,N/A,
184,KODEX 삼성그룹,"8,535",50,-0.58%,0,"13,161","154,200",0.11,"462,904",N/A,N/A,
185,DGB금융지주,"7,720",40,-0.52%,"5,000","13,058","169,146",48.47,"486,250",2.41,9.63,
186,일진하이솔루스,"35,550","2,150",+6.44%,500,"12,909","36,313",1.53,"200,777",133.15,4.97,
187,KODEX 단기채권,"103,505",20,+0.02%,0,"12,736","12,305",0.53,"872,474",N/A,N/A,
188,LX인터내셔널,"32,800","1,100",+3.47%,"5,000","12,713","38,760",26.31,"467,538",2.87,22.49,
189,동국제강,"13,250",600,+4.74%,"5,000","12,645","95,433",22.84,"681,487",1.59,23.41,
190,TIGER 2차전지테마,"18,830",65,+0.35%,0,"12,494","66,350",0.90,"660,348",N/A,N/A,
191,아이에스동서,"40,300",50,-0.12%,500,"12,450","30,893",6.20,"59,530",7.23,8.69,
192,TIGER MSCI Korea TR,"13,360",110,+0.83%,0,"12,371","92,600",4.75,"1,993",N/A,N/A,
193,롯데리츠,"5,080",80,+1.60%,500,"12,343","242,969",11.00,"293,224",33.42,1.59,
194,KG스틸,"12,250",150,+1.24%,"5,000","12,251","100,009",1.75,"454,332",5.30,17.99,
195,서울가스,"240,000","1,000",+0.42%,"5,000","12,000","5,000",3.89,"23,238",65.29,0.80,
196,한국앤컴퍼니,"12,300",300,+2.50%,500,"11,677","94,935",9.14,"122,057",6.55,5.53,
197,두산,"69,900","1,300",+1.90%,"5,000","11,550","16,524",11.86,"86,542",80.07,11.08,
198,현대엘리베이,"28,150",450,+1.62%,"5,000","11,489","40,815",29.72,"101,370",11.31,10.62,
199,KODEX 200TR,"10,820",65,+0.60%,0,"11,345","104,850",0.14,"72,942",N/A,N/A,
200,KBSTAR 200,"32,525",160,+0.49%,0,"11,319","34,800",0.01,"365,260",N/A,N/A,
